number,Species ,Accession,subspecies,Continent,Country,Region,dadi_group,SRA
1,B. rapa ,PI 227296,,CA,Iran,,EU-CA,SRS1355074
2,B. rapa ,Ames 30080,,NA,U.S.,California,EU-CA,SRS1355075
3,B. rapa ,Ames 30083,,NA,U.S.,California,EU-CA,SRS1355152
5,B. rapa ,PI 169082,,CA,Turkey,Samsun,EU-CA,SRS1355179
8,B. rapa ,PI 662794,oleifera,EU, Italy,,EU-CA,SRS1355263
10,B. rapa ,PI 590995,pekinensis,EA,China,Beijing,P,SRS1355238
12,B. rapa ,PI 419064,pekinensis,EA,China,Beijing,P,SRS1355073
13,B. rapa ,PI 649190,oleifera,EU,Belgium,,EU-CA,SRS1355083
14,B. rapa ,PI 649188,oleifera,EU,Belgium,Leielander,EU-CA,SRS1355114
15,B. rapa ,PI 391548,pekinensis,EA,China,Shaanxi,P,SRS1355103
16,B. rapa ,PI 391558,pekinensis,EA,China,Shaanxi,P,SRS1355098
20,B. rapa ,PI 644006,pekinensis,NA,U.S.,California,C,SRS1355162
21,B. rapa ,PI 633161,,EU,Italy,Calabria,EU-CA,SRS1355161
22,B. rapa ,PI 662693,rapa,EA,Japan,,,SRS1355158
24,B. rapa ,PI 175608,,EU,Turkey,Tekirdag,EU-CA,SRS1355154
28,B. rapa ,PI 649162,,EU,Sweden,,EU-CA,SRS1355149
29,B. rapa ,PI 179189,,EU,Iraq,,EU-CA,SRS1355148
31,B. rapa ,PI 169061,,CA,Turkey,,EU-CA,SRS1355145
32,B. rapa ,G30479,rapa,NA,U.S.,,,SRS1355138
34,B. rapa ,PI 127440,,CA,Afghanistan,Kabul,EU-CA,SRS1355134
35,B. rapa ,PI 254542,,CA,Afghanistan ,Kabul,,SRS1355133
36,B. rapa ,PI 162778,,NA,Argentina,Bueno Aires,EU-CA,SRS1355132
37,B. rapa ,PI 212593,,CA,Afghanistan ,Nangarhar,EU-CA,SRS1355131
38,B. rapa ,PI 257241,,EA,China,,,SRS1355129
40,B. rapa ,G31787,,EA,China,,C,SRS1355127
41,B. rapa ,PI 662760,,EA,China,,C,SRS1355126
42,B. rapa ,PI 662761,,EA,China,,C,SRS1355120
43,B. rapa ,PI 662729,,EA,China,,C,SRS1355164
44,B. rapa ,PI 391547,,EA,China,Shaanxi,P,SRS1355165
45,B. rapa ,PI 391549,,EA,China,Shaanxi,P,SRS1355180
46,B. rapa ,PI 250004,,CA,Egypt,,EU-CA,SRS1355166
48,B. rapa ,PI 662772,,EU,Germany,,EU-CA,SRS1355178
51,B. rapa ,PI 370737,,SA,India,,I,SRS1355176
52,B. rapa ,PI 603020,,SA,India,,I,SRS1355170
53,B. rapa ,PI 649160,,SA,India,,I,SRS1355228
55,B. rapa ,PI 179641,,SA,India,Punjab,I,SRS1355226
