Plant.ID,X100.Seed.Weight,Beak.Length.in.Millimeters,C16.0..PALMITIC.ACID.,C16.1..PALMITOLEIC.ACID.,C18.0..STEARIC.ACID.,C18.1..OLEIC.ACID.,C18.2..LINOLEIC.ACID.,C18.3..LINOLENIC.ACID.,C20.0..ARACHIDIC.ACID.,C20.1..GONDOIC.ACID.,C20.2..EICOSADIENOIC.ACID.,C22.0..BEHENIC.ACID.,C22.1..ERUCIC.ACID.,C22.2..BRASSIC.ACID.,C24.0..LIGNOCERIC.ACID.,C24.1..NERVONIC.ACID.,First.Flower.Date,Flower.Color,Last.Flower.Date,Locules.Per.Silique,Middle.Flower.Date,NUMBER.OF.DAYS.TO.HARVEST,Plant.Height,Seed.Color,SEED_TOTAL_OIL,Seeds.Per.Silique,Silique.Attitude,Silique.Length.in.Centimeters,Silique.Width.in.Millimeters,BROWNING,CURD.COLOR,CURD.COMPACTNESS,CURD.DEPTH,CURD.PROTECTION,CURD.QUALITY,CURD.WIDTH,DEFOLIATION,DISEASE.RATING,INSECT.RATING,LEAF.BLOOM,MATURITY,NUMBER.OF.SPROUTS,PLANT.SIZE,SPROUT.COLOR,SPROUT.FIRMNESS,SPROUT.REMOVAL,STALK.LENGTH,SUBSET,UNIFORMITY,SPROUT.WEIGHT
PI 603025 ,,20.2,3.64572,NA,1.37747,11.7167,19.2624,8.60867,1.22321,6.65769,0.88023,1.36732,42.4832,1.73205,NA,0.66672,124,,156,2,137,,,,29.02,21,,5.71,4.3,,,,NA,,,NA,,,,,,,,,,,,,,NA
PI 633154 ,0.35,,2.46,0,0.95,12.39,16.42,9.05,0.79,7.39,0.76,1.21,41.84,1.31,0,2.52,127,YELLOW,177,,140,,95.8,,31.66,,ERECT,,,,,,NA,,,NA,,,,,,,,,,,,,,NA
PI 340208 ,0.32,,2.4,NA,1,11.9,16.7,10.5,0.8,5.8,0,1.3,41.7,1.6,0.8,2.7,108,YELLOW,174,,112,,81.5,BLUE-BLACK,25.7,,ERECT,,,,,,NA,,,NA,,,,,,,,,,,,,,NA
PI 649171 ,0.19,17.4,3.13,0,1.17,11.3,18.33,9.97,0.67,6.37,0.23,1.73,43.03,1.47,0.23,2.37,152,,209,2,188,,32.1,,19.66,20,,6.38,4.3,,,,NA,,,NA,,,,,,,,,,,,,,NA
PI 597831 ,0.19,6.1,2.77,0,1.13,11.17,16.56,9.76,0.97,7.84,0.85,1.31,41.76,1.24,0,2.18,124,,156,2,,,,,32,16,,3.5,3.2,,,,NA,,,NA,,,,,,,,,,,,,,NA
GC 1742-69 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GC 4623-77 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI 370737 ,0.297,,3,NA,1.2,20.3,22,11.3,0.7,5.1,0,1,30.4,0.4,0.4,1,,,,,,,,,26.2,,,,,,,,NA,,,NA,,,,,,,,,,,,,,NA
PI 603020 ,,,3.16,0,1.58,19.75,20.29,8.65,0.91,8.64,0.49,0.74,34.01,0.76,0,0.55,,,151,,124,,,,35.95,,,,,,,,NA,,,NA,,,,,,,,,,,,,,NA
