"Plant ID","Plant Name",Taxonomy,Origin,Material,"Maintained By",Availability
"CSR 209",ATR-5Ca,"Brassica rapa",Canada,,NC7,"Not Available"
"PI 649158","Ames 4555","Brassica rapa",Finland,Seed,NC7,"Add to Cart"
"PI 649159",Arktus,"Brassica rapa",Germany,Seed,NC7,"Add to Cart"
"NSL 6105","EARLY RED/PURPLETOP","Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 6106","EARLY WHITE FLAT DUTCH","Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 6107","EXTRA EARLY PURPLETOP MILAN","Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 6108","EXTRA EARLY WHITE MILAN","Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 6109","GOLDEN BALL","Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 6110","IMPROVED PURPLE TOP YELLOW","Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 6111","LARGE AMBER YELLOW GLOBE","Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 6112","LARGE WHITE NORFOLK GLOBE","Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 6114","LONG WHITE COWHORN","Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 6115",MACOMBER,"Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 6116","MAMMOTH PURPLETOP WHITE GLOBE","Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 6117","POMERANIAN WHITE GLOBE","Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 6119","PURPLETOP WHITE GLOBE","Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 6120","PURPLE TOP YELLOW ABERDEEN","Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 6121","SEVEN TOP","Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 6122","SHOGOIN JAPANESE SALAD","Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 6125","SOUTHERN PRIZE","Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 6126","WHITE EGG","Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 6558","PURPLETOP MILAN","Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 6559","PURPLETOP STRAP LEAF","Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 6560","YELLOW ABERDEEN PURPLETOP","Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 6561","WHITE FLAT DUTCH","Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 6663","WHITE FLAT DUTCH","Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 6694","YELLOW ABERDEEN PURPLETOP","Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 6695","PURPLETOP STRAP LEAF","Brassica rapa","United States",Seed,NSSL,"Not Available"
"Ames 7572","B 49786","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 649160","BC 17","Brassica rapa",India,Seed,NC7,"Add to Cart"
"Ames 9245","Bulked into Ames 25989","Brassica rapa",India,Seed,NC7,"Not Available"
"Ames 9246","BC 19","Brassica rapa",India,Seed,NC7,"Not Available"
"Ames 9247","Bulked into Ames 25989","Brassica rapa",India,Seed,NC7,"Not Available"
"Ames 9248","BC 22","Brassica rapa",India,Seed,NC7,"Not Available"
"Ames 9249","Bulked into Ames 25989","Brassica rapa",India,Seed,NC7,"Not Available"
"Ames 9250","BCB 5","Brassica rapa",India,Seed,NC7,"Not Available"
"PI 649161","BCB 1","Brassica rapa",India,Seed,NC7,"Add to Cart"
"Ames 9253","Bulked into Ames 26159","Brassica rapa",India,,NC7,"Not Available"
"Ames 9254","I.B. 603","Brassica rapa",India,Seed,NC7,"Not Available"
"Ames 9255","I.B. 605","Brassica rapa",India,Seed,NC7,"Not Available"
"Ames 9256","I.B. 606","Brassica rapa",India,Seed,NC7,"Not Available"
"Ames 9257","I.B. 607","Brassica rapa",India,Seed,NC7,"Not Available"
"NSL 9363","AMBER GLOBE","Brassica rapa",,Seed,NSSL,"Not Available"
"Ames 15643",CrGC-8,"Brassica rapa","United States",Seed,NC7,"Not Available"
"PI 633152",CrGC-1,"Brassica rapa","United States",Seed,NC7,"Add to Cart"
"PI 649162",47-560,"Brassica rapa",Sweden,Seed,NC7,"Add to Cart"
"PI 649163",47-559,"Brassica rapa",Sweden,Seed,NC7,"Add to Cart"
"PI 633153","Ames 21502","Brassica rapa",France,Seed,NC7,"Add to Cart"
"PI 633154",K-408,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 633155",K-568,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 633156",K-592,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 633157",K-648,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"Ames 21738",K-956,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 633158",K-945,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 649164",K-100,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 633159","Su Weon","Brassica rapa","Korea, South",Seed,NC7,"Add to Cart"
"Ames 21779","Bajo Local","Brassica rapa",Bhutan,"Plant, Seed",NC7,"Not Available"
"Ames 21780","89 LSVE","Brassica rapa",Bhutan,"Plant, Seed",NC7,"Not Available"
"Ames 21781",Kikothang,"Brassica rapa",Bhutan,"Plant, Seed",NC7,"Not Available"
"Ames 21782",Pangsibi,"Brassica rapa",Bhutan,"Plant, Seed",NC7,"Not Available"
"Ames 21783",Phubjikha,"Brassica rapa",Bhutan,Seed,NC7,"Not Available"
"Ames 21784",Sathpokhari,"Brassica rapa",Bhutan,"Plant, Seed",NC7,"Not Available"
"G 22537","English Broadleaf Rape","Brassica rapa",France,Seed,NE9,"Not Available"
"G 28885","Cima Di Broccoletti Precoce","Brassica rapa",Italy,Seed,NC7,"Not Available"
"G 30657",,"Brassica rapa",Algeria,Seed,NE9,"Not Available"
"PI 662684",Sessantina,"Brassica rapa",Italy,Seed,NE9,"Add to Cart"
"PI 662728","G 30972","Brassica rapa",China,Seed,NE9,"Add to Cart"
"PI 662729","60 Day","Brassica rapa",China,Seed,NE9,"Add to Cart"
"PI 662730","Red Stem","Brassica rapa",China,Seed,NE9,"Add to Cart"
"NSL 31368","TOKYO MARKET","Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 32703",SHOGIN,"Brassica rapa","United States",Seed,NSSL,"Not Available"
